epoch,validity,latitude,longitude,Heading,#SVs,Speed (MPH),epoch2,lat_dec,long_dec
1685299411958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:31.958,XX,XX
1685299412958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:32.958,XX,XX
1685299413958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:33.958,XX,XX
1685299414958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:34.958,XX,XX
1685299415958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:35.958,XX,XX
1685299416958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:36.958,XX,XX
1685299417958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:37.958,XX,XX
1685299418958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:38.958,XX,XX
1685299419958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:39.958,XX,XX
1685299420959,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:40.959,XX,XX
1685299421958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:41.958,XX,XX
1685299422958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:42.958,XX,XX
1685299423958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:43.958,XX,XX
1685299424959,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:44.959,XX,XX
1685299425959,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:45.959,XX,XX
1685299426993,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:43:46.993,XX,XX
1685299427959,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:43:47.959,XX,XX
1685299428959,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:43:48.959,XX,XX
1685299429992,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:43:49.992,XX,XX
1685299430959,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:43:50.959,XX,XX
1685299431959,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:43:51.959,XX,XX
1685299432992,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:43:52.992,XX,XX
1685299433959,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:43:53.959,XX,XX
1685299434960,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:43:54.960,XX,XX
1685299435994,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:43:55.994,XX,XX
1685299436960,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:43:56.960,XX,XX
1685299437960,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:43:57.960,XX,XX
1685299438993,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:43:58.993,XX,XX
1685299439960,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:43:59.960,XX,XX
1685299440960,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:00.960,XX,XX
1685299441994,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:01.994,XX,XX
1685299442960,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:02.960,XX,XX
1685299443960,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:03.960,XX,XX
1685299444994,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:04.994,XX,XX
1685299445960,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:05.960,XX,XX
1685299446960,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:06.960,XX,XX
1685299447994,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:07.994,XX,XX
1685299448960,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:08.960,XX,XX
1685299449960,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:09.960,XX,XX
1685299450994,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:10.994,XX,XX
1685299451961,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:11.961,XX,XX
1685299452960,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:12.960,XX,XX
1685299453994,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:13.994,XX,XX
1685299454960,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:14.960,XX,XX
1685299455960,V,0.0,0.0,0.0,1,0.0,2023-05-28 18:44:15.960,XX,XX
1685299456994,V,0.0,0.0,0.0,2,0.0,2023-05-28 18:44:16.994,XX,XX
1685299457961,V,0.0,0.0,0.0,2,0.0,2023-05-28 18:44:17.961,XX,XX
1685299458961,V,0.0,0.0,0.0,2,0.0,2023-05-28 18:44:18.961,XX,XX
1685299459994,V,0.0,0.0,0.0,2,0.0,2023-05-28 18:44:19.994,XX,XX
1685299460962,V,0.0,0.0,0.0,2,0.0,2023-05-28 18:44:20.962,XX,XX
1685299461962,V,0.0,0.0,0.0,2,0.0,2023-05-28 18:44:21.962,XX,XX
1685299463029,V,0.0,0.0,0.0,3,0.0,2023-05-28 18:44:23.029,XX,XX
1685299463962,V,0.0,0.0,0.0,3,0.0,2023-05-28 18:44:23.962,XX,XX
1685299464962,V,0.0,0.0,0.0,3,0.0,2023-05-28 18:44:24.962,XX,XX
1685299466033,V,0.0,0.0,0.0,3,0.0,2023-05-28 18:44:26.033,XX,XX
1685299466963,V,0.0,0.0,0.0,3,0.0,2023-05-28 18:44:26.963,XX,XX
1685299467963,V,0.0,0.0,0.0,3,0.0,2023-05-28 18:44:27.963,XX,XX
1685299469029,V,0.0,0.0,0.0,3,0.0,2023-05-28 18:44:29.029,XX,XX
1685299469962,V,0.0,0.0,0.0,3,0.0,2023-05-28 18:44:29.962,XX,XX
1685299470963,V,0.0,0.0,0.0,3,0.0,2023-05-28 18:44:30.963,XX,XX
1685299472029,V,0.0,0.0,0.0,3,0.0,2023-05-28 18:44:32.029,XX,XX
1685299472962,V,0.0,0.0,0.0,3,0.0,2023-05-28 18:44:32.962,XX,XX
1685299473962,V,0.0,0.0,0.0,3,0.0,2023-05-28 18:44:33.962,XX,XX
1685299475029,V,0.0,0.0,0.0,3,0.0,2023-05-28 18:44:35.029,XX,XX
